comp0_c0_seq1	ofav0
comp33867_c0_seq1	ofav33867
comp33870_c0_seq1	ofav33870
comp33874_c0_seq1	ofav33874
comp33882_c0_seq1	ofav33882
comp33886_c0_seq1	ofav33886
comp33886_c0_seq2	ofav33886
comp33886_c0_seq3	ofav33886
comp33888_c0_seq1	ofav33888
comp33888_c0_seq2	ofav33888
comp33888_c0_seq3	ofav33888
comp33888_c0_seq4	ofav33888
comp33890_c0_seq1	ofav33890
comp33891_c0_seq1	ofav33891
comp33895_c0_seq1	ofav33895
comp33895_c0_seq2	ofav33895
comp33895_c0_seq3	ofav33895
comp33904_c0_seq1	ofav33904
comp33905_c0_seq1	ofav33905
comp33909_c0_seq1	ofav33909
comp33909_c0_seq2	ofav33909
comp33913_c0_seq1	ofav33913
comp33916_c0_seq1	ofav33916
comp33918_c0_seq1	ofav33918
comp33918_c0_seq2	ofav33918
comp33923_c0_seq1	ofav33923
comp33936_c0_seq1	ofav33936
comp33937_c0_seq1	ofav33937
comp33937_c0_seq2	ofav33937
comp33938_c0_seq1	ofav33938
comp33939_c0_seq1	ofav33939
comp33947_c0_seq1	ofav33947
comp33947_c0_seq2	ofav33947
comp33949_c0_seq1	ofav33949
comp33954_c0_seq1	ofav33954
comp33957_c0_seq1	ofav33957
comp33958_c0_seq1	ofav33958
comp33963_c0_seq1	ofav33963
comp33964_c0_seq1	ofav33964
comp33968_c0_seq1	ofav33968
comp33970_c0_seq1	ofav33970
comp33971_c0_seq1	ofav33971
comp33974_c0_seq1	ofav33974
comp33985_c0_seq2	ofav33985
comp33988_c0_seq1	ofav33988
comp33991_c0_seq1	ofav33991
comp33994_c0_seq1	ofav33994
comp34001_c0_seq1	ofav34001
comp34004_c0_seq1	ofav34004
comp34013_c0_seq1	ofav34013
comp34014_c0_seq1	ofav34014
comp34017_c0_seq1	ofav34017
comp34024_c0_seq2	ofav34024
comp34026_c0_seq1	ofav34026
comp34028_c0_seq1	ofav34028
comp34034_c0_seq1	ofav34034
comp34035_c0_seq1	ofav34035
comp34038_c0_seq1	ofav34038
comp34043_c0_seq1	ofav34043
comp34044_c0_seq1	ofav34044
comp34048_c0_seq1	ofav34048
comp34049_c0_seq1	ofav34049
comp34050_c0_seq1	ofav34050
comp34051_c0_seq1	ofav34051
comp34054_c0_seq1	ofav34054
comp34060_c0_seq1	ofav34060
comp34067_c0_seq1	ofav34067
comp34068_c0_seq1	ofav34068
comp34070_c0_seq1	ofav34070
comp34073_c0_seq1	ofav34073
comp34076_c0_seq1	ofav34076
comp34080_c0_seq1	ofav34080
comp34083_c0_seq1	ofav34083
comp34091_c0_seq1	ofav34091
comp34091_c0_seq2	ofav34091
comp34091_c0_seq3	ofav34091
comp34091_c0_seq4	ofav34091
comp34092_c0_seq1	ofav34092
comp34094_c0_seq1	ofav34094
comp34096_c0_seq1	ofav34096
comp34102_c0_seq1	ofav34102
comp34109_c0_seq1	ofav34109
comp34111_c0_seq1	ofav34111
comp34116_c0_seq1	ofav34116
comp34118_c0_seq1	ofav34118
comp34123_c0_seq1	ofav34123
comp34125_c0_seq1	ofav34125
comp34128_c0_seq2	ofav34128
comp34135_c0_seq1	ofav34135
comp34136_c0_seq1	ofav34136
comp34137_c0_seq1	ofav34137
comp34144_c0_seq1	ofav34144
comp34145_c0_seq1	ofav34145
comp34153_c0_seq1	ofav34153
comp34156_c0_seq1	ofav34156
comp34160_c0_seq1	ofav34160
comp34165_c0_seq1	ofav34165
comp34169_c0_seq1	ofav34169
comp34173_c0_seq1	ofav34173
comp34174_c0_seq1	ofav34174
comp34175_c0_seq1	ofav34175
comp34176_c0_seq1	ofav34176
comp34178_c0_seq1	ofav34178
comp34179_c0_seq1	ofav34179
comp34180_c0_seq1	ofav34180
comp34182_c0_seq1	ofav34182
comp34189_c0_seq1	ofav34189
comp34190_c0_seq1	ofav34190
comp34195_c0_seq1	ofav34195
comp34201_c0_seq1	ofav34201
comp34202_c0_seq1	ofav34202
comp34210_c0_seq1	ofav34210
comp34213_c0_seq1	ofav34213
comp34214_c0_seq1	ofav34214
comp34220_c0_seq1	ofav34220
comp34220_c0_seq2	ofav34220
comp34227_c0_seq1	ofav34227
comp34230_c0_seq1	ofav34230
comp34230_c0_seq2	ofav34230
comp34234_c0_seq1	ofav34234
comp34235_c0_seq1	ofav34235
comp34241_c0_seq1	ofav34241
comp34243_c0_seq1	ofav34243
comp34248_c0_seq1	ofav34248
comp34248_c0_seq3	ofav34248
comp34249_c0_seq1	ofav34249
comp34253_c0_seq1	ofav34253
comp34254_c0_seq1	ofav34254
comp34256_c0_seq1	ofav34256
comp34257_c0_seq1	ofav34257
comp34259_c0_seq1	ofav34259
comp34260_c0_seq1	ofav34260
comp34263_c0_seq1	ofav34263
comp34263_c0_seq2	ofav34263
comp34266_c0_seq1	ofav34266
comp34268_c0_seq1	ofav34268
comp34268_c0_seq2	ofav34268
comp34269_c0_seq1	ofav34269
comp34273_c0_seq2	ofav34273
comp34273_c0_seq3	ofav34273
comp34274_c0_seq1	ofav34274
comp34284_c0_seq1	ofav34284
comp34287_c0_seq1	ofav34287
comp34290_c0_seq1	ofav34290
comp34297_c0_seq1	ofav34297
comp34298_c0_seq1	ofav34298
comp34301_c0_seq1	ofav34301
comp34302_c0_seq1	ofav34302
comp34306_c0_seq1	ofav34306
comp34311_c0_seq1	ofav34311
comp34312_c0_seq1	ofav34312
comp34313_c0_seq1	ofav34313
comp34314_c0_seq1	ofav34314
comp34321_c0_seq1	ofav34321
comp34327_c0_seq1	ofav34327
comp34332_c0_seq2	ofav34332
comp34334_c0_seq1	ofav34334
comp34338_c0_seq1	ofav34338
comp34341_c0_seq1	ofav34341
comp34342_c0_seq1	ofav34342
comp34348_c0_seq1	ofav34348
comp34350_c0_seq1	ofav34350
comp34352_c0_seq1	ofav34352
comp34358_c0_seq1	ofav34358
comp34362_c0_seq1	ofav34362
comp34364_c0_seq1	ofav34364
comp34371_c0_seq1	ofav34371
comp34376_c0_seq1	ofav34376
comp34385_c0_seq1	ofav34385
comp34385_c0_seq2	ofav34385
comp34385_c0_seq3	ofav34385
comp34387_c0_seq1	ofav34387
comp34388_c0_seq1	ofav34388
comp34390_c0_seq1	ofav34390
comp34390_c0_seq2	ofav34390
comp34392_c0_seq1	ofav34392
comp34392_c0_seq2	ofav34392
comp34393_c0_seq1	ofav34393
comp34395_c0_seq1	ofav34395
comp34402_c0_seq1	ofav34402
comp34404_c0_seq1	ofav34404
comp34405_c1_seq1	ofav34405
comp34408_c0_seq1	ofav34408
comp34408_c0_seq2	ofav34408
comp34411_c0_seq1	ofav34411
comp34415_c0_seq1	ofav34415
comp34417_c0_seq1	ofav34417
comp34418_c0_seq1	ofav34418
comp34428_c0_seq1	ofav34428
comp34432_c0_seq1	ofav34432
comp34433_c0_seq2	ofav34433
comp34434_c0_seq1	ofav34434
comp34434_c0_seq2	ofav34434
comp34435_c0_seq1	ofav34435
comp34435_c0_seq2	ofav34435
comp34436_c0_seq1	ofav34436
comp34440_c0_seq1	ofav34440
comp34441_c0_seq1	ofav34441
comp34443_c0_seq1	ofav34443
comp34445_c0_seq1	ofav34445
comp34448_c0_seq1	ofav34448
comp34450_c0_seq1	ofav34450
comp34451_c0_seq1	ofav34451
comp34452_c0_seq1	ofav34452
comp34453_c0_seq1	ofav34453
comp34456_c0_seq1	ofav34456
comp34459_c0_seq1	ofav34459
comp34462_c0_seq1	ofav34462
comp34463_c0_seq1	ofav34463
comp34471_c0_seq1	ofav34471
comp34477_c0_seq1	ofav34477
comp34484_c0_seq1	ofav34484
comp34485_c0_seq1	ofav34485
comp34490_c0_seq1	ofav34490
comp34493_c0_seq1	ofav34493
comp34495_c0_seq1	ofav34495
comp34502_c0_seq1	ofav34502
comp34502_c0_seq2	ofav34502
comp34511_c0_seq1	ofav34511
comp34513_c0_seq1	ofav34513
comp34516_c0_seq1	ofav34516
comp34516_c0_seq3	ofav34516
comp34520_c0_seq1	ofav34520
comp34521_c0_seq1	ofav34521
comp34525_c0_seq1	ofav34525
comp34539_c0_seq1	ofav34539
comp34541_c0_seq1	ofav34541
comp34542_c0_seq1	ofav34542
comp34543_c0_seq1	ofav34543
comp34544_c0_seq1	ofav34544
comp34546_c0_seq1	ofav34546
comp34548_c0_seq1	ofav34548
comp34554_c0_seq1	ofav34554
comp34555_c0_seq1	ofav34555
comp34556_c0_seq1	ofav34556
comp34558_c0_seq1	ofav34558
comp34559_c0_seq1	ofav34559
comp34560_c0_seq1	ofav34560
comp34567_c0_seq1	ofav34567
comp34578_c0_seq1	ofav34578
comp34579_c0_seq1	ofav34579
comp34581_c0_seq1	ofav34581
comp34583_c0_seq1	ofav34583
comp34585_c0_seq1	ofav34585
comp34590_c0_seq1	ofav34590
comp34592_c0_seq1	ofav34592
comp34592_c0_seq2	ofav34592
comp34592_c0_seq3	ofav34592
comp34592_c0_seq4	ofav34592
comp34596_c0_seq1	ofav34596
comp34598_c0_seq1	ofav34598
comp34599_c0_seq1	ofav34599
comp34609_c0_seq1	ofav34609
comp34611_c0_seq1	ofav34611
comp34613_c0_seq1	ofav34613
comp34616_c0_seq1	ofav34616
comp34621_c0_seq1	ofav34621
comp34627_c0_seq1	ofav34627
comp34630_c0_seq1	ofav34630
comp34631_c0_seq1	ofav34631
comp34633_c0_seq1	ofav34633
comp34634_c0_seq1	ofav34634
comp34639_c0_seq1	ofav34639
comp34639_c0_seq2	ofav34639
comp34639_c0_seq3	ofav34639
comp34644_c0_seq1	ofav34644
comp34645_c0_seq1	ofav34645
comp34647_c0_seq1	ofav34647
comp34648_c0_seq1	ofav34648
comp34650_c0_seq1	ofav34650
comp34655_c0_seq1	ofav34655
comp34661_c0_seq1	ofav34661
comp34664_c0_seq1	ofav34664
comp34668_c0_seq1	ofav34668
comp34670_c0_seq1	ofav34670
comp34672_c0_seq1	ofav34672
comp34677_c0_seq1	ofav34677
comp34678_c0_seq1	ofav34678
comp34679_c0_seq1	ofav34679
comp34680_c0_seq1	ofav34680
comp34686_c0_seq1	ofav34686
comp34694_c0_seq1	ofav34694
comp34696_c0_seq1	ofav34696
comp34697_c0_seq1	ofav34697
comp34698_c0_seq1	ofav34698
comp34703_c0_seq1	ofav34703
comp34707_c0_seq1	ofav34707
comp34708_c0_seq1	ofav34708
comp34710_c0_seq1	ofav34710
comp34711_c0_seq1	ofav34711
comp34713_c0_seq1	ofav34713
comp34714_c0_seq1	ofav34714
comp34716_c0_seq1	ofav34716
comp34717_c0_seq1	ofav34717
comp34717_c0_seq2	ofav34717
comp34723_c0_seq1	ofav34723
comp34724_c0_seq1	ofav34724
comp34726_c0_seq1	ofav34726
comp34726_c0_seq2	ofav34726
comp34726_c0_seq4	ofav34726
comp34730_c0_seq1	ofav34730
comp34737_c0_seq1	ofav34737
comp34743_c0_seq1	ofav34743
comp34745_c0_seq1	ofav34745
comp34748_c0_seq1	ofav34748
comp34752_c0_seq1	ofav34752
comp34756_c0_seq1	ofav34756
comp34758_c0_seq1	ofav34758
comp34760_c0_seq1	ofav34760
comp34765_c0_seq1	ofav34765
comp34769_c0_seq1	ofav34769
comp34770_c0_seq1	ofav34770
comp34772_c0_seq1	ofav34772
comp34773_c0_seq1	ofav34773
comp34786_c0_seq1	ofav34786
comp34787_c0_seq1	ofav34787
comp34791_c0_seq1	ofav34791
comp34792_c0_seq1	ofav34792
comp34793_c0_seq1	ofav34793
comp34797_c0_seq1	ofav34797
comp34807_c0_seq1	ofav34807
comp34807_c0_seq2	ofav34807
comp34808_c0_seq1	ofav34808
comp34810_c0_seq1	ofav34810
comp34811_c0_seq1	ofav34811
comp34817_c0_seq1	ofav34817
comp34819_c0_seq1	ofav34819
comp34819_c0_seq2	ofav34819
comp34822_c0_seq1	ofav34822
comp34823_c0_seq1	ofav34823
comp34824_c0_seq1	ofav34824
comp34826_c0_seq1	ofav34826
comp34827_c0_seq1	ofav34827
comp34835_c0_seq1	ofav34835
comp34839_c0_seq1	ofav34839
comp34840_c0_seq1	ofav34840
comp34841_c0_seq1	ofav34841
comp34855_c0_seq1	ofav34855
comp34862_c0_seq1	ofav34862
comp34868_c0_seq1	ofav34868
comp34870_c0_seq1	ofav34870
comp34871_c0_seq1	ofav34871
comp34872_c0_seq1	ofav34872
comp34874_c0_seq1	ofav34874
comp34879_c0_seq1	ofav34879
comp34892_c0_seq1	ofav34892
comp34895_c0_seq1	ofav34895
comp34901_c0_seq1	ofav34901
comp34905_c0_seq1	ofav34905
comp34906_c0_seq1	ofav34906
comp34910_c0_seq1	ofav34910
comp34922_c0_seq1	ofav34922
comp34925_c0_seq1	ofav34925
comp34928_c0_seq1	ofav34928
comp34932_c0_seq1	ofav34932
comp34933_c0_seq1	ofav34933
comp34935_c0_seq1	ofav34935
comp34936_c0_seq1	ofav34936
comp34948_c0_seq1	ofav34948
comp34951_c0_seq1	ofav34951
comp34952_c0_seq1	ofav34952
comp34952_c0_seq2	ofav34952
comp34952_c0_seq3	ofav34952
comp34958_c0_seq1	ofav34958
comp34963_c0_seq1	ofav34963
comp34967_c0_seq1	ofav34967
comp34973_c0_seq1	ofav34973
comp34977_c0_seq1	ofav34977
comp34982_c0_seq1	ofav34982
comp34983_c0_seq1	ofav34983
comp34988_c0_seq1	ofav34988
comp34994_c0_seq1	ofav34994
comp34997_c0_seq1	ofav34997
comp34998_c0_seq1	ofav34998
comp34998_c0_seq2	ofav34998
comp35006_c0_seq1	ofav35006
comp35006_c0_seq2	ofav35006
comp35006_c0_seq3	ofav35006
comp35009_c0_seq1	ofav35009
comp35013_c0_seq2	ofav35013
comp35013_c0_seq3	ofav35013
comp35013_c0_seq4	ofav35013
comp35013_c0_seq5	ofav35013
comp35015_c0_seq1	ofav35015
comp35023_c0_seq1	ofav35023
comp35027_c0_seq1	ofav35027
comp35028_c0_seq1	ofav35028
comp35032_c0_seq1	ofav35032
comp35034_c0_seq1	ofav35034
comp35034_c0_seq2	ofav35034
comp35036_c0_seq1	ofav35036
comp35037_c0_seq1	ofav35037
comp35037_c0_seq2	ofav35037
comp35038_c0_seq1	ofav35038
comp35043_c0_seq1	ofav35043
comp35047_c0_seq1	ofav35047
comp35048_c0_seq1	ofav35048
comp35052_c0_seq1	ofav35052
comp35052_c0_seq2	ofav35052
comp35052_c0_seq3	ofav35052
comp35058_c0_seq1	ofav35058
comp35059_c0_seq1	ofav35059
comp35062_c0_seq1	ofav35062
comp35063_c0_seq1	ofav35063
comp35067_c0_seq1	ofav35067
comp35069_c0_seq2	ofav35069
comp35072_c0_seq1	ofav35072
comp35075_c0_seq1	ofav35075
comp35079_c0_seq1	ofav35079
comp35081_c0_seq1	ofav35081
comp35083_c0_seq1	ofav35083
comp35083_c0_seq2	ofav35083
comp35084_c0_seq1	ofav35084
comp35089_c0_seq1	ofav35089
comp35093_c0_seq1	ofav35093
comp35099_c0_seq1	ofav35099
comp35101_c0_seq1	ofav35101
comp35102_c0_seq1	ofav35102
comp35102_c0_seq2	ofav35102
comp35106_c0_seq1	ofav35106
comp35114_c0_seq1	ofav35114
comp35118_c0_seq1	ofav35118
comp35122_c0_seq1	ofav35122
comp35123_c0_seq1	ofav35123
comp35125_c0_seq1	ofav35125
comp35127_c0_seq1	ofav35127
comp35128_c0_seq1	ofav35128
comp35131_c0_seq1	ofav35131
comp35131_c0_seq2	ofav35131
comp35132_c0_seq1	ofav35132
comp35133_c0_seq1	ofav35133
comp35136_c0_seq1	ofav35136
comp35142_c0_seq1	ofav35142
comp35142_c0_seq2	ofav35142
comp35143_c0_seq1	ofav35143
comp35144_c0_seq1	ofav35144
comp35145_c0_seq1	ofav35145
comp35146_c0_seq1	ofav35146
comp35148_c0_seq1	ofav35148
comp35152_c0_seq1	ofav35152
comp35163_c0_seq1	ofav35163
comp35163_c0_seq2	ofav35163
comp35164_c0_seq1	ofav35164
comp35166_c0_seq1	ofav35166
comp35166_c0_seq2	ofav35166
comp35168_c0_seq1	ofav35168
comp35170_c0_seq1	ofav35170
comp35172_c0_seq1	ofav35172
comp35174_c0_seq1	ofav35174
comp35179_c0_seq1	ofav35179
comp35185_c0_seq1	ofav35185
comp35189_c0_seq1	ofav35189
comp35190_c0_seq1	ofav35190
comp35197_c0_seq1	ofav35197
comp35206_c0_seq1	ofav35206
comp35208_c0_seq1	ofav35208
comp35216_c0_seq1	ofav35216
comp35217_c0_seq1	ofav35217
comp35218_c0_seq1	ofav35218
comp35218_c0_seq2	ofav35218
comp35222_c0_seq1	ofav35222
comp35227_c0_seq1	ofav35227
comp35228_c0_seq1	ofav35228
comp35238_c0_seq2	ofav35238
comp35243_c0_seq1	ofav35243
comp35252_c0_seq1	ofav35252
comp35254_c0_seq1	ofav35254
comp35254_c0_seq2	ofav35254
comp35256_c0_seq1	ofav35256
comp35258_c0_seq1	ofav35258
comp35266_c0_seq1	ofav35266
comp35266_c0_seq2	ofav35266
comp35267_c0_seq1	ofav35267
comp35270_c0_seq1	ofav35270
comp35275_c0_seq1	ofav35275
comp35276_c0_seq1	ofav35276
comp35281_c0_seq1	ofav35281
comp35284_c0_seq1	ofav35284
comp35285_c0_seq1	ofav35285
comp35289_c0_seq1	ofav35289
comp35297_c0_seq1	ofav35297
comp35302_c0_seq1	ofav35302
comp35306_c0_seq1	ofav35306
comp35307_c0_seq1	ofav35307
comp35308_c0_seq2	ofav35308
comp35309_c0_seq1	ofav35309
comp35317_c0_seq1	ofav35317
comp35325_c0_seq1	ofav35325
comp35331_c0_seq1	ofav35331
comp35333_c0_seq1	ofav35333
comp35335_c0_seq1	ofav35335
comp35339_c0_seq1	ofav35339
comp35340_c0_seq1	ofav35340
comp35344_c0_seq1	ofav35344
comp35351_c0_seq1	ofav35351
comp35352_c0_seq1	ofav35352
comp35354_c0_seq1	ofav35354
comp35356_c0_seq1	ofav35356
comp35356_c0_seq2	ofav35356
comp35363_c0_seq1	ofav35363
comp35366_c0_seq1	ofav35366
comp35368_c0_seq1	ofav35368
comp35369_c0_seq1	ofav35369
comp35369_c0_seq2	ofav35369
comp35371_c0_seq1	ofav35371
comp35372_c0_seq1	ofav35372
comp35379_c0_seq1	ofav35379
comp35382_c0_seq1	ofav35382
comp35388_c0_seq1	ofav35388
comp35392_c0_seq1	ofav35392
comp35393_c0_seq1	ofav35393
comp35396_c0_seq1	ofav35396
comp35397_c0_seq1	ofav35397
comp35397_c0_seq2	ofav35397
comp35403_c0_seq1	ofav35403
comp35406_c0_seq1	ofav35406
comp35407_c0_seq1	ofav35407
comp35408_c0_seq1	ofav35408
comp35411_c0_seq1	ofav35411
comp35414_c0_seq1	ofav35414
comp35415_c0_seq1	ofav35415
comp35418_c0_seq1	ofav35418
comp35419_c0_seq1	ofav35419
comp35423_c0_seq1	ofav35423
comp35428_c0_seq1	ofav35428
comp35429_c0_seq1	ofav35429
comp35434_c0_seq1	ofav35434
comp35437_c0_seq1	ofav35437
comp35439_c0_seq1	ofav35439
comp35440_c0_seq2	ofav35440
comp35440_c0_seq4	ofav35440
comp35440_c0_seq5	ofav35440
comp35440_c0_seq6	ofav35440
comp35440_c0_seq9	ofav35440
comp35440_c0_seq10	ofav35440
comp35449_c0_seq1	ofav35449
comp35452_c0_seq1	ofav35452
comp35453_c0_seq1	ofav35453
comp35458_c0_seq1	ofav35458
comp35460_c0_seq1	ofav35460
comp35462_c0_seq1	ofav35462
comp35465_c0_seq1	ofav35465
comp35467_c0_seq1	ofav35467
comp35475_c1_seq1	ofav35475
comp35476_c0_seq1	ofav35476
comp35477_c0_seq1	ofav35477
comp35482_c0_seq1	ofav35482
comp35484_c0_seq1	ofav35484
comp35487_c0_seq1	ofav35487
comp35494_c0_seq1	ofav35494
comp35499_c0_seq1	ofav35499
comp35500_c0_seq1	ofav35500
comp35505_c0_seq1	ofav35505
comp35508_c0_seq1	ofav35508
comp35516_c0_seq1	ofav35516
comp35516_c0_seq2	ofav35516
comp35523_c0_seq1	ofav35523
comp35542_c0_seq1	ofav35542
comp35545_c0_seq1	ofav35545
comp35546_c0_seq1	ofav35546
comp35547_c0_seq1	ofav35547
comp35549_c0_seq1	ofav35549
comp35550_c0_seq1	ofav35550
comp35552_c0_seq1	ofav35552
comp35552_c0_seq2	ofav35552
comp35553_c0_seq1	ofav35553
comp35555_c0_seq1	ofav35555
comp35556_c0_seq1	ofav35556
comp35559_c0_seq1	ofav35559
comp35565_c0_seq1	ofav35565
comp35566_c0_seq1	ofav35566
comp35571_c0_seq1	ofav35571
comp35571_c0_seq2	ofav35571
comp35575_c0_seq1	ofav35575
comp35575_c0_seq2	ofav35575
comp35575_c0_seq3	ofav35575
comp35575_c0_seq4	ofav35575
comp35580_c0_seq1	ofav35580
comp35586_c0_seq1	ofav35586
comp35586_c0_seq2	ofav35586
comp35591_c0_seq1	ofav35591
comp35594_c0_seq2	ofav35594
comp35595_c0_seq1	ofav35595
comp35596_c0_seq1	ofav35596
comp35600_c0_seq1	ofav35600
comp35600_c0_seq2	ofav35600
comp35602_c0_seq1	ofav35602
comp35606_c0_seq1	ofav35606
comp35608_c0_seq1	ofav35608
comp35608_c1_seq1	ofav35608
comp35610_c0_seq1	ofav35610
comp35611_c0_seq1	ofav35611
comp35614_c0_seq1	ofav35614
comp35614_c0_seq2	ofav35614
comp35614_c0_seq3	ofav35614
comp35623_c0_seq1	ofav35623
comp35624_c0_seq1	ofav35624
comp35627_c0_seq1	ofav35627
comp35627_c0_seq2	ofav35627
comp35631_c0_seq1	ofav35631
comp35632_c0_seq1	ofav35632
comp35635_c0_seq1	ofav35635
comp35655_c0_seq1	ofav35655
comp35658_c0_seq1	ofav35658
comp35659_c0_seq1	ofav35659
comp35660_c0_seq1	ofav35660
comp35665_c0_seq1	ofav35665
comp35666_c0_seq1	ofav35666
comp35668_c0_seq1	ofav35668
comp35671_c0_seq1	ofav35671
comp35676_c0_seq1	ofav35676
comp35677_c0_seq1	ofav35677
comp35680_c0_seq1	ofav35680
comp35683_c0_seq1	ofav35683
comp35684_c0_seq1	ofav35684
comp35685_c0_seq1	ofav35685
comp35686_c0_seq1	ofav35686
comp35687_c0_seq1	ofav35687
comp35688_c0_seq1	ofav35688
comp35690_c0_seq1	ofav35690
comp35691_c0_seq1	ofav35691
comp35692_c0_seq1	ofav35692
comp35696_c0_seq1	ofav35696
comp35696_c1_seq1	ofav35696
comp35700_c0_seq1	ofav35700
comp35703_c0_seq1	ofav35703
comp35710_c0_seq1	ofav35710
comp35712_c0_seq1	ofav35712
comp35714_c0_seq1	ofav35714
comp35714_c0_seq2	ofav35714
comp35716_c0_seq1	ofav35716
comp35719_c0_seq1	ofav35719
comp35723_c0_seq2	ofav35723
comp35724_c0_seq1	ofav35724
comp35725_c0_seq1	ofav35725
comp35726_c0_seq1	ofav35726
comp35728_c0_seq1	ofav35728
comp35729_c0_seq1	ofav35729
comp35732_c0_seq1	ofav35732
comp35736_c0_seq1	ofav35736
comp35739_c0_seq1	ofav35739
comp35740_c0_seq1	ofav35740
comp35741_c0_seq1	ofav35741
comp35744_c0_seq1	ofav35744
comp35745_c0_seq1	ofav35745
comp35751_c0_seq1	ofav35751
comp35756_c0_seq1	ofav35756
comp35761_c0_seq1	ofav35761
comp35761_c0_seq2	ofav35761
comp35765_c0_seq1	ofav35765
comp35766_c0_seq1	ofav35766
comp35770_c0_seq1	ofav35770
comp35771_c0_seq1	ofav35771
comp35774_c0_seq1	ofav35774
comp35775_c0_seq1	ofav35775
comp35775_c0_seq2	ofav35775
comp35788_c0_seq1	ofav35788
comp35790_c0_seq1	ofav35790
comp35797_c0_seq1	ofav35797
comp35803_c0_seq1	ofav35803
comp35809_c0_seq1	ofav35809
comp35810_c0_seq1	ofav35810
comp35813_c0_seq1	ofav35813
comp35814_c0_seq2	ofav35814
comp35815_c0_seq1	ofav35815
comp35816_c0_seq1	ofav35816
comp35818_c0_seq1	ofav35818
comp35825_c0_seq1	ofav35825
comp35829_c0_seq1	ofav35829
comp35830_c0_seq1	ofav35830
comp35832_c0_seq1	ofav35832
comp35832_c0_seq2	ofav35832
comp35838_c0_seq1	ofav35838
comp35838_c0_seq2	ofav35838
comp35840_c0_seq1	ofav35840
comp35840_c0_seq2	ofav35840
comp35841_c0_seq1	ofav35841
comp35842_c0_seq1	ofav35842
comp35846_c0_seq1	ofav35846
comp35849_c0_seq1	ofav35849
comp35849_c0_seq2	ofav35849
comp35859_c0_seq1	ofav35859
comp35859_c0_seq2	ofav35859
comp35860_c0_seq1	ofav35860
comp35864_c0_seq1	ofav35864
comp35868_c0_seq1	ofav35868
comp35870_c0_seq1	ofav35870
comp35874_c0_seq1	ofav35874
comp35875_c0_seq1	ofav35875
comp35877_c0_seq1	ofav35877
comp35878_c0_seq1	ofav35878
comp35880_c0_seq1	ofav35880
comp35883_c0_seq1	ofav35883
comp35886_c0_seq1	ofav35886
comp35892_c0_seq1	ofav35892
comp35896_c0_seq1	ofav35896
comp35905_c0_seq1	ofav35905
comp35906_c0_seq1	ofav35906
comp35907_c0_seq1	ofav35907
comp35910_c0_seq1	ofav35910
comp35915_c0_seq1	ofav35915
comp35919_c0_seq1	ofav35919
comp35919_c0_seq2	ofav35919
comp35920_c0_seq1	ofav35920
comp35922_c0_seq2	ofav35922
comp35927_c0_seq1	ofav35927
comp35928_c0_seq1	ofav35928
comp35929_c0_seq1	ofav35929
comp35933_c0_seq1	ofav35933
comp35935_c0_seq1	ofav35935
comp35940_c0_seq1	ofav35940
comp35942_c0_seq1	ofav35942
comp35944_c0_seq1	ofav35944
comp35945_c0_seq1	ofav35945
comp35954_c0_seq1	ofav35954
comp35954_c0_seq2	ofav35954
comp35959_c0_seq1	ofav35959
comp35960_c0_seq1	ofav35960
comp35964_c0_seq1	ofav35964
comp35965_c0_seq1	ofav35965
comp35972_c0_seq1	ofav35972
comp35973_c0_seq1	ofav35973
comp35985_c0_seq1	ofav35985
comp35986_c0_seq1	ofav35986
comp35993_c0_seq2	ofav35993
comp35995_c0_seq1	ofav35995
comp35996_c0_seq1	ofav35996
comp35998_c0_seq1	ofav35998
comp35998_c0_seq2	ofav35998
comp36007_c0_seq2	ofav36007
comp36010_c0_seq1	ofav36010
comp36015_c0_seq1	ofav36015
comp36016_c0_seq1	ofav36016
comp36017_c0_seq1	ofav36017
comp36021_c0_seq1	ofav36021
comp36021_c0_seq2	ofav36021
comp36023_c0_seq1	ofav36023
comp36033_c0_seq1	ofav36033
comp36038_c0_seq1	ofav36038
comp36039_c0_seq1	ofav36039
comp36042_c0_seq1	ofav36042
comp36043_c0_seq1	ofav36043
comp36044_c0_seq1	ofav36044
comp36045_c0_seq1	ofav36045
comp36048_c0_seq1	ofav36048
comp36051_c0_seq1	ofav36051
comp36051_c0_seq2	ofav36051
comp36054_c0_seq1	ofav36054
comp36055_c0_seq1	ofav36055
comp36056_c0_seq1	ofav36056
comp36057_c0_seq1	ofav36057
comp36058_c0_seq2	ofav36058
comp36065_c0_seq1	ofav36065
comp36068_c0_seq1	ofav36068
comp36071_c0_seq1	ofav36071
comp36072_c0_seq1	ofav36072
comp36073_c0_seq2	ofav36073
comp36081_c0_seq1	ofav36081
comp36081_c0_seq2	ofav36081
comp36082_c0_seq1	ofav36082
comp36086_c0_seq1	ofav36086
comp36087_c0_seq1	ofav36087
comp36089_c0_seq1	ofav36089
comp36090_c0_seq1	ofav36090
comp36091_c0_seq1	ofav36091
comp36092_c0_seq1	ofav36092
comp36094_c0_seq1	ofav36094
comp36097_c0_seq2	ofav36097
comp36098_c0_seq1	ofav36098
comp36104_c0_seq1	ofav36104
comp36106_c0_seq1	ofav36106
comp36108_c0_seq1	ofav36108
comp36111_c0_seq1	ofav36111
comp36114_c0_seq1	ofav36114
comp36116_c0_seq1	ofav36116
comp36117_c0_seq1	ofav36117
comp36119_c0_seq1	ofav36119
